Cluster_ID,Best_Match,Similarity_Pct,Status,Total_Reads,Pct_of_Sample,Num_ASVs
Cluster_825,Eukaryota;Obazoa;Opisthokonta;Fungi;Mucoromycota;Glomeromycotina;Glomerales;Glomus;Glomus_sp.;,76.76,Low confidence / possible divergent,308,0.2,26
Cluster_151,Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Chytridiales;Chytridiales_X;Chytridiales_XX;Chytridiales_XX_sp.;,44.98,Candidate novel taxon,305,0.19,42
Cluster_793,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Apostomatia;Apostomatia_X;Apostomatia_XX;Apostomatia_XX_sp.;,82.85,Confident match,303,0.19,27
Cluster_390,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Vaginicolidae;Vaginicolidae_X;Vaginicolidae_X_sp.;,64.09,Candidate novel taxon,300,0.19,20
Cluster_858,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariomycetes_X;Sordariomycetes_X_sp.;,73.85,Low confidence / possible divergent,299,0.19,23
Cluster_767,Eukaryota;Amoebozoa;Evosea;Evosea_X;Variosea;Protosteliida;Protosteliida_X;Protostelium;Protostelium_mycophagum;,76.41,Low confidence / possible divergent,299,0.19,16
Cluster_518,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Chelicerata;Arachnida;Glossilus;Glossilus_sp.;,69.01,Low confidence / possible divergent,298,0.19,34
Cluster_778,Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Cryptogregarinorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium_sp.;,71.46,Low confidence / possible divergent,292,0.19,19
Cluster_752,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Operculariidae;OLIGO1;OLIGO1_sp.;,70.62,Low confidence / possible divergent,289,0.18,31
Cluster_730,Eukaryota;TSAR;Telonemia;Telonemia_X;Telonemia_XX;Telonemia_XXX;Telonemia-Group-2;Telonemia-Group-2_X;Telonemia-Group-2_X_sp.;,72.92,Low confidence / possible divergent,289,0.18,55
Cluster_544,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida;Sessilida_X;Sessilida_X_sp.;,74.59,Low confidence / possible divergent,289,0.18,37
Cluster_906,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Macrostylis;Macrostylis_sp.;,69.74,Low confidence / possible divergent,288,0.18,23
Cluster_821,Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_1;PHYLL_4;PHYLL_4_X;PHYLL_4_X_sp.;,78.35,Low confidence / possible divergent,286,0.18,23
Cluster_353,Eukaryota;TSAR;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Globigerinidae;Globigerinella;Globigerinella_siphonifera;,75.41,Low confidence / possible divergent,285,0.18,41
Cluster_630,Eukaryota;Amoebozoa;Evosea;Evosea_X;Archamoebea;Archamoebea_X;Entamoebidae;Entamoeba;Entamoeba_polecki;,77.19,Low confidence / possible divergent,281,0.18,40
Cluster_462,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida;Sessilida_X;Sessilida_X_sp.;,75.55,Low confidence / possible divergent,281,0.18,32
Cluster_689,Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Evaginogenida;Evaginogenida_X;Evaginogenida_X_sp.;,78.23,Low confidence / possible divergent,281,0.18,20
Cluster_1013,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida;Sessilida_X;Sessilida_X_sp.;,79.23,Low confidence / possible divergent,277,0.18,6
